加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
156, 8, 16701,17201, 500
81, 1, 18414,18694, 280
31, 4, 17319,17819, 500
189, 6, 18858,19358, 500
67, 7, 17903,18403, 500
91, 1, 18777,19057, 280
98, 5, 19197,19477, 280
129, 8, 17319,17819, 500
61, 4, 17936,18436, 500
193, 1, 19151,19431, 280
21, 1, 19484,19764, 280
44, 7, 18555,19055, 500
183, 2, 17776,18276, 500
113, 8, 17907,18407, 500
146, 7, 19108,19608, 500
175, 3, 18734,19014, 280
81, 8, 18851,19351, 500
78, 2, 18430,18930, 500
110, 2, 18988,19488, 500
115, 2, 19546,20046, 500
85, 3, 19202,19482, 280
58, 6, 19457,19957, 500
15, 1, 19876,20156, 280
4, 7, 19691,20191, 500
173, 7, 20244,20744, 500
102, 5, 19578,19858, 280
153, 7, 20838,21338, 500
97, 3, 19596,19876, 280
149, 6, 20056,20556, 500
65, 1, 20268,20548, 280
69, 3, 19970,20250, 280
41, 4, 18530,19030, 500
137, 5, 19952,20232, 280
187, 3, 20344,20624, 280
25, 8, 19574,20074, 500
83, 7, 21391,21891, 500
175, 7, 21944,22444, 500
179, 2, 20144,20644, 500
150, 5, 20344,20624, 280
99, 4, 19207,19707, 500
60, 3, 20677,20957, 280
24, 3, 21010,21290, 280
207, 7, 22556,23056, 500
145, 2, 20765,21265, 500
17, 6, 20673,21173, 500
15, 7, 23150,23650, 500
16, 5, 20771,21051, 280
40, 2, 21382,21882, 500
95, 1, 20601,20881, 280
93, 3, 21384,21664, 280
122, 6, 21272,21772, 500
186, 6, 21830,22330, 500
111, 8, 20243,20743, 500
29, 4, 19824,20324, 500
91, 7, 23762,24262, 500
166, 8, 20823,21323, 500
16, 8, 21381,21881, 500
65, 7, 24315,24815, 500
102, 4, 20461,20961, 500
105, 1, 20975,21255, 280
168, 8, 21969,22469, 500
97, 8, 22527,23027, 500
187, 7, 24868,25368, 500
52, 2, 22032,22532, 500
143, 5, 21163,21443, 280
104, 4, 21109,21609, 500
70, 2, 22631,23131, 500
112, 6, 22447,22947, 500
139, 4, 21708,22208, 500
82, 1, 21366,21646, 280
49, 3, 21758,22038, 280
198, 8, 23144,23644, 500
3, 8, 23702,24202, 500
30, 4, 22325,22825, 500
206, 1, 21802,22082, 280
100, 3, 22132,22412, 280
37, 3, 22465,22745, 280
180, 6, 23046,23546, 500
143, 7, 25462,25962, 500
134, 3, 22857,23137, 280
28, 5, 21537,21817, 280
165, 5, 21870,22150, 280
170, 5, 22203,22483, 280
54, 8, 24301,24801, 500
21, 4, 22974,23474, 500
43, 8, 24918,25418, 500
193, 6, 23645,24145, 500
197, 6, 24203,24703, 500
116, 7, 26056,26556, 500
108, 2, 23238,23738, 500
210, 5, 22668,22948, 280
37, 4, 23573,24073, 500
7, 3, 23203,23483, 280
160, 5, 23068,23348, 280
95, 6, 24761,25261, 500
100, 4, 24172,24672, 500
120, 1, 22226,22506, 280
35, 3, 23577,23857, 280
210, 8, 25535,26035, 500
89, 1, 22639,22919, 280
50, 5, 23460,23740, 280
89, 8, 26134,26634, 500
127, 1, 23057,23337, 280
10, 5, 23852,24132, 280
184, 1, 23449,23729, 280
205, 4, 24771,25271, 500
126, 5, 24297,24577, 280
174, 5, 24630,24910, 280
127, 4, 25370,25870, 500
33, 5, 25012,25292, 280
98, 6, 25319,25819, 500
171, 3, 23951,24231, 280
190, 1, 23856,24136, 280
201, 3, 24325,24605, 280
133, 4, 25928,26428, 500
160, 7, 26668,27168, 500
199, 5, 25464,25744, 280
140, 8, 26733,27233, 500
28, 8, 27291,27791, 500
69, 6, 25918,26418, 500
49, 2, 23879,24379, 500
51, 2, 24437,24937, 500
190, 2, 24995,25495, 500
158, 5, 25856,26136, 280
105, 7, 27262,27762, 500
59, 1, 24286,24566, 280
60, 4, 26527,27027, 500
158, 4, 27085,27585, 500
120, 4, 27643,28143, 500
194, 6, 26517,27017, 500
76, 3, 24724,25004, 280
93, 6, 27116,27616, 500
34, 3, 25106,25386, 280
185, 1, 24724,25004, 280
137, 2, 25553,26053, 500
201, 4, 28242,28742, 500
20, 5, 26230,26510, 280
185, 8, 27890,28390, 500
59, 7, 27815,28315, 500
7, 2, 26144,26644, 500
174, 2, 26702,27202, 500
33, 8, 28478,28978, 500
35, 7, 28368,28868, 500
170, 2, 27350,27850, 500
63, 5, 26639,26919, 280
63, 6, 27674,28174, 500
50, 7, 28962,29462, 500
126, 2, 27978,28478, 500
20, 4, 28841,29341, 500
171, 7, 29574,30074, 500
76, 7, 30127,30627, 500
184, 8, 29036,29536, 500
165, 6, 28341,28841, 500
176, 1, 25124,25404, 280
10, 2, 28536,29036, 500
150, 2, 29094,29594, 500
82, 4, 29440,29940, 500
176, 2, 29693,30193, 500
134, 2, 30251,30751, 500
199, 6, 28958,29458, 500
34, 8, 29635,30135, 500
206, 8, 30193,30693, 500
85, 4, 30057,30557, 500
48, 1, 25556,25836, 280
24, 6, 29575,30075, 500
48, 6, 30133,30633, 500
